No_Responden,Adv19,Adv21,Mon19,Mon21,Ino19,Ino21,Dana19,Dana21,JP19,JP21,Kapa19,Kapa21,APD19,APD21,Ontime19,Ontime21,Lab19,Lab21,Imun19,Imun21,Prom19,Prom21,Susp19,Susp21,Inisiasi19,Inisiasi21,Gizi19,Gizi21,Sanitasi19,Sanitasi21,Kontak19,Kontak21,Lengkap19,Lengkap21,Sembuh19,Sembuh21,Lost19,Lost21,Kasus19,Kasus21,Death19,Death21
51,2,0,4,0,1,30," 10,000,000 "," 10,000,000 ",2,2,1,0,850,1350,10,5,250,70,1151,1174,12,2,281,63,90,25,30,10,30,10,92,26,66,64,16,14,3,1,92,26,1,0
52,2,2,2,3,4,2," 16,750,000 "," 17,125,000 ",5,4,2,3,900,1650,12,12,55,42,640,528,4,2,68,48,40,36,12,21,12,24,25,16,48,16,6,6,1,2,41,38,0,1
53,2,0,7,0,1,1," 19,400,000 "," 18,500,000 ",6,5,4,2,1120,2100,12,11,251,202,1600,1275,6,0,378,342,159,97,81,42,70,32,77,23,88,100,34,6,5,5,163,101,1,3
54,2,1,6,0,1,1," 10,500,000 "," 9,000,000 ",4,4,2,0,750,1745,12,10,46,54,631,538,8,0,67,82,65,24,19,5,19,5,34,15,47,30,18,0,2,1,67,25,0,1
55,2,1,4,1,1,1," 9,925,000 "," 9,500,000 ",4,4,4,5,850,1850,12,12,45,25,896,728,5,2,100,123,59,47,51,46,51,46,51,46,11,30,40,4,2,2,60,49,0,0
56,2,1,5,0,1,1," 12,500,000 "," 12,500,000 ",5,4,3,2,930,1800,12,12,311,199,962,595,5,1,357,245,103,71,66,21,52,15,81,26,25,22,58,30,4,3,106,74,0,1
57,2,1,5,1,1,1," 11,800,000 "," 9,500,000 ",5,5,1,0,800,2050,15,17,100,160,938,985,8,0,226,132,143,61,89,11,69,2,25,40,104,67,31,10,5,3,147,64,5,1
58,2,0,4,4,0,0," 9,500,000 "," 8,000,000 ",4,4,1,1,900,1700,12,4,23,74,700,595,2,1,60,41,33,20,25,20,50,5,34,5,12,13,5,1,1,1,34,21,3,2
59,2,3,4,4,0,1," 10,500,000 "," 9,500,000 ",5,4,3,3,1050,1700,12,12,106,82,948,782,12,6,107,85,59,33,20,5,20,0,10,2,58,39,24,8,2,2,61,34,4,0
60,2,1,8,4,1,1," 10,000,000 "," 9,000,000 ",3,3,3,1,700,1400,12,12,22,19,865,810,6,4,15,80,48,23,15,17,33,33,33,33,37,18,3,0,2,1,49,24,1,0
61,2,0,6,0,0,0," 11,000,000 "," 11,000,000 ",4,4,1,0,700,1700,2,3,60,75,713,576,5,0,51,85,39,33,55,42,55,42,55,42,26,22,18,14,1,2,40,34,0,1
62,2,2,4,1,1,0," 14,150,000 "," 12,700,000 ",5,5,3,1,900,1900,12,12,334,146,1494,1249,10,5,142,135,121,64,100,50,100,50,100,50,66,50,25,20,4,3,124,67,12,7
